Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RST1",SW_SPST_TL3342,2,SW_SPST,C318884
"C1, C3, C4, C5, C6, C7, C8",402,7,100nF,C307331
"C10, C9",402,2,1uF,C52923
C2,603,1,10uF,C19702
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D5, D6, D7, D8, D9",D_SOD-123,39,D_Small,C81598
F1,1206,1,500mA,C369160
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX5, MX6, MX7, MX8, MX9",SW_MX_HS_CPG151101S11_1u,42,MX_SW_HS,CPG151101S11-16
"R1, R2, R3, R4",402,4,5.1k,C25905
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
U2,SOT-143,1,PRTR5V0U2X,C2827688
U3,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
