Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,131.35,-121.52,0.0,bottom
C1,166.846577,-121.056577,0.0,bottom
C10,224.21,-68.7,0.0,bottom
C2,226.96,-68.95,180.0,bottom
C3,172.61,-108.82,180.0,bottom
C4,163.86,-109.070001,90.0,bottom
C5,172.86,-117.57,270.0,bottom
C6,172.36,-119.07,180.0,bottom
C7,166.846577,-119.806577,180.0,bottom
C8,224.46,-61.950001,90.0,bottom
C9,222.96,-65.2,90.0,bottom
D1,58.937499,-69.32,270.0,bottom
D10,237.531249,-69.32,270.0,bottom
D11,61.318749,-88.37,270.0,bottom
D12,82.749999,-88.37,270.0,bottom
D13,101.799999,-88.37,270.0,bottom
D14,120.849999,-88.37,270.0,bottom
D15,139.899999,-88.37,270.0,bottom
D16,158.949999,-88.37,270.0,bottom
D17,177.999999,-88.37,270.0,bottom
D18,197.049999,-88.37,270.0,bottom
D19,216.099999,-88.37,270.0,bottom
D2,77.987499,-69.32,270.0,bottom
D20,225.0575,-80.7,270.0,bottom
D21,63.699999,-107.42,270.0,bottom
D22,87.512499,-107.42,270.0,bottom
D23,106.562499,-107.42,270.0,bottom
D24,125.612499,-107.42,270.0,bottom
D25,144.662499,-107.42,270.0,bottom
D26,163.75,-104.48,270.0,bottom
D27,182.762499,-107.42,270.0,bottom
D28,201.812499,-107.42,270.0,bottom
D29,220.862499,-107.42,270.0,bottom
D3,97.037499,-69.32,270.0,bottom
D30,239.7875,-110.17,270.0,bottom
D31,58.937499,-126.47,270.0,bottom
D32,77.987499,-126.47,270.0,bottom
D33,97.037499,-126.47,270.0,bottom
D34,116.087499,-126.47,270.0,bottom
D35,151.806249,-126.47,270.0,bottom
D36,187.524999,-126.47,270.0,bottom
D37,206.574999,-126.47,270.0,bottom
D38,225.624999,-126.47,270.0,bottom
D39,244.674999,-126.47,270.0,bottom
D4,116.087499,-69.32,270.0,bottom
D5,135.137499,-69.32,270.0,bottom
D6,154.187499,-69.32,270.0,bottom
D7,172.787499,-67.21,270.0,bottom
D8,191.837499,-67.21,270.0,bottom
D9,210.887499,-67.21,270.0,bottom
F1,221.46,-62.95,180.0,bottom
J1,221.46,-50.7,180.0,bottom
MX1,55.9375,-62.32,0.0,bottom
MX10,234.53125,-62.32,0.0,bottom
MX11,58.31875,-81.37,0.0,bottom
MX12,79.75,-81.37,0.0,bottom
MX13,98.8,-81.37,0.0,bottom
MX14,117.85,-81.37,0.0,bottom
MX15,136.9,-81.37,0.0,bottom
MX16,155.95,-81.37,0.0,bottom
MX17,175.0,-81.37,0.0,bottom
MX18,194.05,-81.37,0.0,bottom
MX19,213.1,-81.37,0.0,bottom
MX2,74.9875,-62.32,0.0,bottom
MX20,236.9125,-81.37,0.0,bottom
MX21,60.7,-100.42,0.0,bottom
MX22,84.5125,-100.42,0.0,bottom
MX23,103.5625,-100.42,0.0,bottom
MX24,122.6125,-100.42,0.0,bottom
MX25,141.6625,-100.42,0.0,bottom
MX26,160.7125,-100.42,0.0,bottom
MX27,179.7625,-100.42,0.0,bottom
MX28,198.8125,-100.42,0.0,bottom
MX29,217.8625,-100.42,0.0,bottom
MX3,94.0375,-62.32,0.0,bottom
MX30,239.29375,-100.42,180.0,bottom
MX31,55.9375,-119.47,0.0,bottom
MX32,74.9875,-119.47,0.0,bottom
MX33,94.0375,-119.47,0.0,bottom
MX34,113.0875,-119.47,0.0,bottom
MX35,148.80625,-119.47,0.0,bottom
MX36,184.525,-119.47,0.0,bottom
MX37,203.575,-119.47,0.0,bottom
MX38,222.625,-119.47,180.0,bottom
MX39,241.675,-119.47,0.0,bottom
MX4,113.0875,-62.32,0.0,bottom
MX40,77.05125,-119.47,180.0,bottom
MX41,220.502959,-119.47,0.0,bottom
MX42,239.29375,-90.895,90.0,bottom
MX5,132.1375,-62.32,0.0,bottom
MX6,151.1875,-62.32,0.0,bottom
MX7,170.2375,-62.32,0.0,bottom
MX8,189.2875,-62.32,0.0,bottom
MX9,208.3375,-62.32,0.0,bottom
R1,224.46,-59.95,0.0,bottom
R2,224.46,-57.45,180.0,bottom
R3,169.61,-123.32,0.0,bottom
R4,167.11,-123.32,0.0,bottom
RST1,131.310001,-115.42,180.0,bottom
U1,168.36,-113.32,0.0,bottom
U2,221.46,-58.7,0.0,bottom
U3,225.71,-66.2,180.0,bottom
